designation,obsid,ra,dec,teff,logg,feh,snrr,coord_A_Li
J012217.03+432218.3,268606193,20.570981,43.371768,5508.65,3.273,-2.183,90.58,2.159074306
J012236.20+514000.5,248309226,20.650874,51.666817,4896.4,2.357,-0.342,61.54,4.410704613
J012236.25+070818.1,498616027,20.651046,7.138378,5406.6,3.3,-1.95,106.7,2.009152412
J012301.76+544611.4,251004116,20.757371,54.76984,4673.66,2.273,-0.002,69.44,2.35346961
J012304.13+464218.1,82906099,20.767223,46.705048,4755.36,2.545,-0.017,202.15,2.16102767
J012309.41+502024.6,248407194,20.789229,50.340168,4688.77,2.592,0.098,155.56,2.148335218
J012312.97+091128.8,496713030,20.803064,9.191074,4102.15,1.983,-0.283,843.09,2.486284971
J012406.43+455013.6,82707129,21.026832,45.837128,4817.82,2.492,-0.383,61.19,2.514731884
J012424.15+530228.2,248312101,21.100666,53.041186,4870.93,2.454,-0.325,52.56,3.648572683
J012425.38+064339.8,476409196,21.105777,6.727738,5046.84,2.358,-2.298,100.98,2.060393095
J012427.36+271234.6,90308080,21.114015,27.209638,4900.9,2.457,-0.537,101.75,4.260210514
J012452.53+280606.6,90313174,21.218875,28.10184,4945.12,2.371,-0.615,63.37,2.160584688
J012452.71+562911.2,616706049,21.219632,56.486463,4947.87,2.172,-0.635,37.42,3.571336269
J012455.29+452106.5,268612204,21.2304133,45.3518311,4434.75,2.276,-0.242,121.37,3.212299347
J012455.30+452106.6,168204044,21.230426,45.351837,4400.19,2.314,-0.183,139.77,3.690002203
J012520.68+310326.3,161505070,21.336184,31.057327,5023.31,2.578,-0.205,30.59,2.60614562
J012622.32+411412.1,405015181,21.593,41.236698,4983.19,2.986,-0.6,77.01,2.598778486
J012629.48+613034.6,617413227,21.622848,61.509632,4578.91,2.071,-0.374,74.16,2.099117279
J012650.06-012548.2,169915106,21.7086075,-1.4300772,5033.85,2.408,-0.842,151.39,4.234339714
